0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z
0.052246,0.909001,0.20168,0.055643,0.985144,0.198742,0.085849,1.335203,0.144825,0.074285,1.448638,0.235005,0.261282,1.321758,0.17958,0.274206,1.091884,0.230023,0.2604085,0.8470234999999999,0.322814,0.2604085,0.8470234999999999,0.322814,-0.089433,1.327312,0.100277,-0.146725,1.100975,0.132573,-0.184741,0.8683460000000001,0.213255,-0.184741,0.8683460000000001,0.213255,0.131103,0.649155,0.301035,0.128839,0.212373,0.209646,0.160294,0.110232,0.162083,0.142748,0.055005,0.302674,-0.090557,0.586886,0.251346,-0.098797,0.327249,0.221098,-0.095806,0.118284,0.18088,-0.097354,0.052215,0.317834,0.0846455,1.286949,0.1440179999999999,0.307491,0.781838,0.314523,0.307491,0.781838,0.314523,-0.200181,0.800853,0.180538,-0.200181,0.800853,0.180538
0.05267,0.909156,0.201373,0.056061,0.985302,0.198522,0.086257,1.335445,0.145089,0.074609,1.4487,0.235485,0.261613,1.321935,0.180204,0.274463,1.091995,0.230366,0.2601495,0.847246,0.3239535,0.2601495,0.847246,0.3239535,-0.089074,1.327541,0.100605,-0.146302,1.101258,0.133387,-0.184333,0.868538,0.214666,-0.184333,0.868538,0.214666,0.131113,0.649519,0.301368,0.128935,0.212256,0.209608,0.160466,0.110223,0.161862,0.142861,0.055186,0.302521,-0.090193,0.587232,0.251831,-0.098771,0.327259,0.221594,-0.095908,0.118327,0.181197,-0.097296,0.052089,0.318071,0.085052,1.287193,0.144197,0.307245,0.782037,0.315927,0.307245,0.782037,0.315927,-0.199986,0.800983,0.18218,-0.199986,0.800983,0.18218
0.053216,0.909425,0.200859,0.056619,0.985576,0.198134,0.086786,1.335825,0.145407,0.07493,1.448904,0.235997,0.262034,1.322242,0.181085,0.274162,1.092032,0.230178,0.2598235,0.847701,0.325285,0.2598235,0.847701,0.325285,-0.088544,1.327932,0.100851,-0.145968,1.101735,0.133879,-0.1838945,0.8689895,0.2157985,-0.1838945,0.8689895,0.2157985,0.131089,0.64999,0.301624,0.129075,0.212171,0.2094,0.160651,0.110292,0.161355,0.143086,0.055636,0.302168,-0.089774,0.58792,0.252856,-0.098776,0.327229,0.222425,-0.096136,0.118423,0.181366,-0.097092,0.052109,0.318207,0.0855905,1.287575,0.1444105,0.306715,0.782287,0.31775,0.306715,0.782287,0.31775,-0.199606,0.801308,0.183604,-0.199606,0.801308,0.183604
0.053877,0.909901,0.200118,0.057324,0.986055,0.197529,0.087506,1.336414,0.1458,0.075314,1.449301,0.236584,0.262603,1.322813,0.182268,0.274762,1.092383,0.230303,0.2593235,0.8486009999999999,0.3269174999999999,0.2593235,0.8486009999999999,0.3269174999999999,-0.087714,1.328584,0.100875,-0.145587,1.102502,0.133902,-0.183437,0.8697825,0.216565,-0.183437,0.8697825,0.216565,0.130914,0.65066,0.301839,0.129152,0.212239,0.209233,0.160865,0.110516,0.16095,0.143187,0.05612,0.301848,-0.089326,0.58907,0.254351,-0.098638,0.32729,0.223649,-0.096343,0.118686,0.181556,-0.097039,0.052094,0.318263,0.086347,1.2881665,0.1446645,0.305928,0.782919,0.319949,0.305928,0.782919,0.319949,-0.199273,0.802066,0.184506,-0.199273,0.802066,0.184506
0.054709,0.910603,0.199112,0.058192,0.986761,0.196698,0.088394,1.337199,0.146353,0.075784,1.449898,0.237312,0.263276,1.323575,0.1839,0.27636,1.09298,0.230897,0.258629,0.84993,0.3290295,0.258629,0.84993,0.3290295,-0.086577,1.329616,0.100729,-0.144991,1.103581,0.133124,-0.1831535,0.8708925000000001,0.2168525,-0.1831535,0.8708925000000001,0.2168525,0.130322,0.651748,0.302414,0.129008,0.21235,0.209127,0.161108,0.110877,0.160574,0.143246,0.056702,0.301534,-0.088816,0.59068,0.256247,-0.098335,0.327434,0.225225,-0.096447,0.119106,0.181767,-0.097014,0.052073,0.318259,0.087282,1.288954,0.145046,0.304767,0.783848,0.322782,0.304767,0.783848,0.322782,-0.199068,0.803001,0.185205,-0.199068,0.803001,0.185205
0.05579,0.911407,0.197891,0.059297,0.987571,0.195708,0.089611,1.338224,0.147199,0.076177,1.450696,0.238322,0.264217,1.324605,0.186182,0.279595,1.094008,0.232463,0.2577545,0.8516265000000001,0.331831,0.2577545,0.8516265000000001,0.331831,-0.084956,1.330708,0.100235,-0.144274,1.104688,0.131053,-0.1831539999999999,0.8724465,0.216517,-0.1831539999999999,0.8724465,0.216517,0.129305,0.653037,0.303118,0.128763,0.212461,0.208743,0.161574,0.111334,0.159945,0.143525,0.057347,0.300954,-0.088019,0.592629,0.258509,-0.097752,0.327569,0.227126,-0.096437,0.119595,0.181985,-0.096981,0.052046,0.318222,0.088582,1.289983,0.145706,0.303341,0.785089,0.326413,0.303341,0.785089,0.326413,-0.199267,0.804366,0.18538,-0.199267,0.804366,0.18538
0.057307,0.912382,0.196334,0.06073,0.988559,0.194484,0.091163,1.339442,0.148492,0.076446,1.451655,0.239736,0.26526,1.326008,0.189515,0.285176,1.095764,0.235822,0.256614,0.8538705,0.33512,0.256614,0.8538705,0.33512,-0.082769,1.332054,0.09934,-0.143241,1.106004,0.127585,-0.183531,0.874558,0.2153505,-0.183531,0.874558,0.2153505,0.128319,0.654901,0.304482,0.128496,0.212657,0.209494,0.161461,0.111956,0.159924,0.143888,0.05762,0.300859,-0.086954,0.594884,0.260719,-0.096954,0.327824,0.229111,-0.096328,0.120229,0.182242,-0.096955,0.052052,0.318166,0.0902039999999999,1.2912065,0.1467875,0.301588,0.786839,0.330803,0.301588,0.786839,0.330803,-0.199752,0.806199,0.184888,-0.199752,0.806199,0.184888
0.059453,0.91356,0.194233,0.062585,0.989759,0.192876,0.093041,1.340874,0.150253,0.076412,1.452716,0.241623,0.266332,1.327623,0.19433,0.289149,1.097238,0.238548,0.2549515,0.8565285,0.33896,0.2549515,0.8565285,0.33896,-0.07994,1.333697,0.097975,-0.141811,1.10761,0.122683,-0.1842115,0.8772694999999999,0.213121,-0.1842115,0.8772694999999999,0.213121,0.128689,0.657205,0.305819,0.128883,0.213397,0.210719,0.160955,0.11305,0.159863,0.143882,0.057981,0.300575,-0.08554,0.597558,0.263039,-0.09617,0.328166,0.231322,-0.096191,0.121005,0.182568,-0.096933,0.052096,0.318122,0.0921739999999999,1.292647,0.1482605,0.299181,0.788921,0.336189,0.299181,0.788921,0.336189,-0.200397,0.808585,0.183381,-0.200397,0.808585,0.183381
0.061561,0.914547,0.191633,0.064538,0.990757,0.190584,0.095231,1.342433,0.152653,0.075997,1.453711,0.244201,0.267343,1.329351,0.20098,0.293535,1.098737,0.242025,0.2524505,0.8594435,0.3435945,0.2524505,0.8594435,0.3435945,-0.07642,1.335529,0.096353,-0.139931,1.109425,0.11628,-0.185046,0.8804605,0.209664,-0.185046,0.8804605,0.209664,0.128939,0.659698,0.308196,0.129309,0.213575,0.212669,0.16051,0.113807,0.16016,0.143802,0.057922,0.300593,-0.083683,0.600594,0.265869,-0.095656,0.328416,0.23379,-0.096202,0.121853,0.182566,-0.097035,0.052234,0.317756,0.094527,1.294223,0.1502435,0.29566,0.79113,0.342621,0.29566,0.79113,0.342621,-0.201001,0.811355,0.180785,-0.201001,0.811355,0.180785
0.064058,0.915303,0.188359,0.066782,0.991526,0.187593,0.097754,1.343961,0.155778,0.075257,1.454402,0.247596,0.268221,1.330978,0.209459,0.297895,1.100139,0.246691,0.24879,0.8623595,0.349172,0.24879,0.8623595,0.349172,-0.0722,1.337318,0.094637,-0.137423,1.111255,0.108605,-0.1856395,0.8836090000000001,0.2047515,-0.1856395,0.8836090000000001,0.2047515,0.128772,0.662735,0.311645,0.129536,0.213475,0.215217,0.160411,0.114544,0.16096,0.143719,0.05746,0.300913,-0.081514,0.604286,0.269994,-0.095186,0.328475,0.237618,-0.096105,0.122718,0.183249,-0.097088,0.052198,0.31797,0.097291,1.295782,0.152769,0.290538,0.793143,0.350067,0.290538,0.793143,0.350067,-0.201424,0.814123,0.176705,-0.201424,0.814123,0.176705
